company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,roce_pct,roa_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning_flag,net_debt,asset_turnover,free_cash_flow_cr,capex_cr,fcf_conversion_pct,cfo_quality_score,capital_allocation_pattern,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score
ADANIPORTS,2016-03,40.17,64.38,21.15,-121.95,7.44,1.65,False,4.72,,False,21797.0,0.19,-1772.0,58.42,-38.72,Moderate,Mixed,1428.0,65.24,0.28,58.21,33.49,,,,-425.81
ADANIPORTS,2016-03,40.17,64.38,21.15,-121.95,7.44,1.65,False,4.72,,False,21797.0,0.19,-1772.0,58.42,-38.72,Moderate,Mixed,1428.0,65.24,0.28,58.21,33.49,,,,-425.81
ADANIPORTS,2017-03,46.24,64.2,22.26,-89.89,9.0,1.27,False,5.78,,False,21053.0,0.19,1434.0,31.15,26.47,High Quality,Shareholder Returns,1951.0,84.67,0.18,51.22,48.15,,,,377.88
ADANIPORTS,2017-03,46.24,64.2,22.26,-89.89,9.0,1.27,False,5.78,,False,21053.0,0.19,1434.0,31.15,26.47,High Quality,Shareholder Returns,1951.0,84.67,0.18,51.22,48.15,,,,377.88
ADANIPORTS,2018-03,32.59,63.21,17.65,-68.87,7.81,1.07,False,5.07,,False,21291.0,0.24,1762.0,33.97,24.62,High Quality,Shareholder Returns,1845.0,100.98,0.3,47.36,49.53,,,,455.01
ADANIPORTS,2018-03,32.59,63.21,17.65,-68.87,7.81,1.07,False,5.07,,False,21291.0,0.24,1762.0,33.97,24.62,High Quality,Shareholder Returns,1845.0,100.98,0.3,47.36,49.53,,,,455.01
ADANIPORTS,2019-03,37.03,60.38,16.6,-82.02,7.18,1.14,False,5.69,,False,26930.0,0.19,1661.0,39.98,25.18,High Quality,Mixed,2022.5,117.74,0.02,49.21,55.19,,,,430.45
ADANIPORTS,2019-03,37.03,60.38,16.6,-82.02,7.18,1.14,False,5.69,,False,26930.0,0.19,1661.0,39.98,25.18,High Quality,Mixed,2022.5,117.74,0.02,49.21,55.19,,,,430.45
ADANIPORTS,2020-03,31.88,50.09,14.87,-89.53,6.11,1.19,False,4.04,,False,29064.0,0.19,6653.0,6.31,111.87,High Quality,Shareholder Returns,1892.5,125.4,0.45,48.84,62.34,,,,1676.46
ADANIPORTS,2020-03,31.88,50.09,14.87,-89.53,6.11,1.19,False,4.04,,False,29064.0,0.19,6653.0,6.31,111.87,High Quality,Shareholder Returns,1892.5,125.4,0.45,48.84,62.34,,,,1676.46
ADANIPORTS,2021-03,40.23,69.23,16.59,-83.47,6.77,1.18,False,4.73,,False,33619.0,0.17,-6508.0,112.06,-74.91,High Quality,Mixed,2524.5,149.96,0.4,48.07,60.21,,,,-1611.1
ADANIPORTS,2021-03,40.23,69.23,16.59,-83.47,6.77,1.18,False,4.73,,False,33619.0,0.17,-6508.0,112.06,-74.91,High Quality,Mixed,2524.5,149.96,0.4,48.07,60.21,,,,-1611.1
ADANIPORTS,2022-03,28.93,55.66,11.84,-85.5,5.04,1.15,False,4.47,,False,44774.0,0.17,4927.0,32.09,51.71,High Quality,Shareholder Returns,2476.5,198.2,0.44,48.75,60.87,,,,1243.2
ADANIPORTS,2022-03,28.93,55.66,11.84,-85.5,5.04,1.15,False,4.47,,False,44774.0,0.17,4927.0,32.09,51.71,High Quality,Shareholder Returns,2476.5,198.2,0.44,48.75,60.87,,,,1243.2
ADANIPORTS,2023-03,25.85,52.5,11.88,-87.04,4.79,1.18,False,4.77,,False,46002.0,0.19,-4816.0,80.16,-43.99,High Quality,Shareholder Returns,2695.5,210.13,0.37,47.47,57.07,,,,-1193.37
ADANIPORTS,2023-03,25.85,52.5,11.88,-87.04,4.79,1.18,False,4.77,,False,46002.0,0.19,-4816.0,80.16,-43.99,High Quality,Shareholder Returns,2695.5,210.13,0.37,47.47,57.07,,,,-1193.37
ADANIPORTS,2024-03,30.34,58.36,15.35,-59.79,6.93,0.94,False,5.95,,False,45181.0,0.23,8250.0,25.34,52.92,High Quality,Shareholder Returns,4052.0,244.34,0.2,42.28,56.22,,,,2075.66
ADANIPORTS,2024-03,30.34,58.36,15.35,-59.79,6.93,0.94,False,5.95,,False,45181.0,0.23,8250.0,25.34,52.92,High Quality,Shareholder Returns,4052.0,244.34,0.2,42.28,56.22,49.5,37.67,36.56,2075.66
ADANIPOWER,2013-03,-34.29,14.35,-53.46,-731.42,-4.2,9.74,True,0.69,,True,41773.0,0.12,-1063.0,60.73,-110.73,Accrual Risk,Mixed,-229.5,17.94,-0.0,76.42,44.84,,,,-288.74
ADANIPOWER,2014-03,-1.9,29.96,-4.45,-466.47,-0.5,6.75,True,1.14,,True,44035.0,0.26,-1462.0,30.66,-31.83,Accrual Risk,Mixed,-29.1,22.78,-0.0,75.16,21.12,,,,-367.21
ADANIPOWER,2015-03,-4.37,25.04,-14.25,-531.14,-1.4,7.82,True,1.21,,True,44385.0,0.32,1087.0,25.35,23.24,Accrual Risk,Reinvestor,-81.6,19.93,-0.0,76.52,31.17,,,,266.75
ADANIPOWER,2016-03,2.17,34.68,7.38,-433.46,0.73,7.06,True,1.55,,False,52729.0,0.33,2565.0,10.61,29.14,Accrual Risk,Reinvestor,55.1,22.4,0.0,69.57,20.72,,,,643.82
ADANIPOWER,2017-03,-27.3,26.44,-205.8,-819.89,-8.63,17.49,True,0.39,,True,52320.0,0.32,3513.0,5.36,58.75,Accrual Risk,Reinvestor,-617.4,7.78,-0.0,73.39,20.89,,,,817.82
ADANIPOWER,2018-03,-10.36,26.77,-236.56,-1321.04,-3.02,59.43,True,1.11,,True,52835.0,0.29,4581.0,2.56,84.27,Accrual Risk,Reinvestor,-210.3,2.3,-0.0,75.99,25.12,,,,1082.77
ADANIPOWER,2019-03,-4.12,20.86,-12.76,-401.39,-1.45,6.09,True,1.31,,True,46977.0,0.35,4626.0,4.12,92.84,Accrual Risk,Reinvestor,-98.4,19.99,-0.0,69.1,23.49,,,,1151.92
ADANIPOWER,2020-03,-8.6,21.66,-35.1,-521.4,-3.03,8.52,True,1.14,,True,55196.0,0.35,3294.0,8.7,57.45,Accrual Risk,Reinvestor,-227.5,16.8,-0.0,73.57,21.15,,,,811.82
ADANIPOWER,2021-03,4.84,33.13,9.69,-268.65,1.61,4.01,False,2.08,,False,52499.0,0.33,4826.0,8.34,55.55,Accrual Risk,Reinvestor,127.0,34.0,0.0,66.64,26.75,,,,1210.54
ADANIPOWER,2022-03,17.73,35.66,26.61,-181.99,5.99,2.66,False,3.37,,False,48962.0,0.34,11007.0,2.79,111.4,Accrual Risk,Liquidating Assets,491.2,47.85,0.0,59.95,36.93,,,,2764.33
ADANIPOWER,2023-03,27.67,26.04,35.91,-97.21,12.5,1.42,False,4.29,,False,41696.0,0.45,9976.0,3.98,98.81,Accrual Risk,Liquidating Assets,1072.7,77.46,0.0,49.35,21.74,,,,2513.02
ADANIPOWER,2024-03,41.37,36.2,48.28,-34.81,22.64,0.8,False,8.3,,False,34242.0,0.55,17651.0,6.91,96.83,High Quality,Liquidating Assets,2082.9,111.86,0.0,37.62,28.14,49.72,,,4440.82
AMBUJACEM,2012-12,13.25,25.37,14.69,25.76,10.47,0.01,False,32.59,,False,-1521.0,0.79,1472.0,3.98,59.52,High Quality,Shareholder Returns,646.0,57.12,3.33,0.49,19.08,,,,377.6
AMBUJACEM,2013-12,13.95,18.22,13.51,16.28,9.86,0.01,False,30.73,,False,-1666.0,0.71,771.0,5.41,46.2,High Quality,Shareholder Returns,639.0,61.24,3.44,0.37,13.83,,,,202.08
AMBUJACEM,2014-12,14.94,19.43,14.77,17.95,10.71,0.0,False,35.65,,False,-2063.0,0.72,1219.0,4.58,63.03,High Quality,Shareholder Returns,743.5,64.97,3.09,0.24,16.83,,,,314.86
AMBUJACEM,2015-12,8.56,16.34,7.87,13.82,5.72,0.0,False,20.6,,False,-2114.0,0.67,1474.0,0.88,95.59,High Quality,Shareholder Returns,404.0,66.26,6.68,0.25,16.5,,,,374.04
AMBUJACEM,2016-12,7.14,15.83,7.23,14.81,4.37,0.0,False,23.67,,False,-146.0,0.61,-1355.0,20.73,-42.6,High Quality,Shareholder Returns,717.0,99.85,3.49,0.09,13.98,,,,-334.06
AMBUJACEM,2017-12,8.24,16.34,9.41,17.51,5.48,0.0,False,20.35,,False,-129.0,0.66,2678.0,3.13,69.41,High Quality,Shareholder Returns,972.5,104.14,2.42,0.07,14.47,,,,675.28
AMBUJACEM,2018-12,11.42,15.4,13.29,16.88,7.95,0.0,False,24.96,,False,-93.0,0.7,938.0,2.94,23.39,High Quality,Shareholder Returns,1486.5,112.7,0.47,0.11,6.54,,,,242.66
AMBUJACEM,2019-12,10.27,16.96,11.56,18.06,6.93,0.0,False,30.58,,False,-109.0,0.67,3548.0,4.39,77.18,High Quality,Shareholder Returns,1391.5,121.3,0.5,0.1,17.48,,,,894.19
AMBUJACEM,2020-12,12.67,20.42,13.65,18.96,7.82,0.02,False,37.81,,False,304.0,0.62,3515.0,5.37,70.22,High Quality,Shareholder Returns,1553.5,114.64,4.86,1.19,19.71,,,,887.28
AMBUJACEM,2021-12,12.81,21.44,14.64,21.63,8.21,0.02,False,44.26,,False,279.0,0.64,3302.0,6.93,53.17,High Quality,Shareholder Returns,1855.5,127.73,1.21,1.06,18.33,,,,834.41
AMBUJACEM,2023-03,7.77,13.15,9.54,13.79,5.85,0.02,False,28.56,,False,309.0,0.75,-13746.0,37.19,-268.37,High Quality,Mixed,1512.0,159.69,0.63,1.01,1.89,,,,-3430.71
AMBUJACEM,2024-03,14.29,19.3,11.43,13.23,7.26,0.02,False,28.26,,False,-150.0,0.51,-3295.0,26.96,-51.48,High Quality,Mixed,2369.0,188.44,0.25,1.07,17.03,27.74,29.68,14.87,-815.5
APOLLOHOSP,2013-03,8.04,16.24,11.03,-20.8,6.29,0.44,False,6.26,,False,686.0,0.78,-290.0,19.45,-47.39,High Quality,Mixed,60.6,196.21,8.25,25.2,11.75,,,,-66.16
APOLLOHOSP,2014-03,7.23,15.52,10.58,-21.24,5.89,0.45,False,5.83,,False,1022.0,0.81,17.0,8.17,2.51,High Quality,Shareholder Returns,63.0,212.64,7.94,25.12,8.56,,,,10.18
APOLLOHOSP,2015-03,6.53,14.37,10.56,-37.09,5.19,0.63,False,6.64,,False,1681.0,0.79,-289.0,14.8,-39.21,High Quality,Mixed,67.0,226.57,7.16,30.84,9.16,,,,-66.68
APOLLOHOSP,2016-03,3.82,11.12,7.05,-59.79,3.19,0.85,False,4.31,,False,2482.0,0.84,-291.0,14.44,-42.54,High Quality,Mixed,47.0,238.0,14.89,38.51,9.71,,,,-69.23
APOLLOHOSP,2017-03,1.81,10.12,3.95,-65.9,1.62,0.94,False,3.09,,False,2719.0,0.9,-529.0,15.88,-72.07,High Quality,Mixed,26.2,236.71,29.01,38.57,8.59,,,,-130.41
APOLLOHOSP,2018-03,0.73,9.72,1.85,-72.72,0.7,1.05,False,2.8,,False,3075.0,0.96,132.0,4.91,16.48,High Quality,Shareholder Returns,12.0,232.29,98.33,39.87,6.51,,,,33.82
APOLLOHOSP,2019-03,2.08,11.13,6.0,-69.79,2.18,1.1,False,3.35,,False,3211.0,1.05,194.0,7.39,18.13,High Quality,Shareholder Returns,40.0,238.14,17.5,40.07,9.41,,,,51.06
APOLLOHOSP,2020-03,3.84,14.15,12.93,-50.63,3.83,1.08,False,3.4,,False,3162.0,1.0,1004.0,2.57,63.1,High Quality,Shareholder Returns,86.4,238.57,4.17,31.85,11.5,,,,256.15
APOLLOHOSP,2021-03,1.3,10.8,2.98,-58.35,1.2,0.9,False,2.77,,False,2817.0,0.93,385.0,8.33,33.77,High Quality,Shareholder Returns,27.4,319.65,21.17,36.52,11.98,,,,97.62
APOLLOHOSP,2022-03,7.56,14.93,19.7,-30.19,8.36,0.72,False,6.75,,False,3252.0,1.11,949.0,5.09,43.35,High Quality,Shareholder Returns,221.6,390.49,1.44,30.68,11.57,,,,246.16
APOLLOHOSP,2023-03,5.08,12.43,13.62,-33.27,5.85,0.7,False,5.62,,False,3758.0,1.15,520.0,5.16,25.18,High Quality,Shareholder Returns,168.8,430.42,3.08,30.05,8.29,,,,136.14
APOLLOHOSP,2024-03,4.91,12.56,13.48,-38.55,5.58,0.77,False,5.57,,False,4347.0,1.14,383.0,8.06,16.0,High Quality,Shareholder Returns,187.0,481.67,2.78,31.85,10.07,38.28,25.28,23.42,101.74
ASIANPAINT,2013-03,11.04,16.54,34.28,41.99,17.1,0.07,False,44.07,,False,-45.0,1.55,724.0,4.41,41.68,High Quality,Shareholder Returns,1160.0,35.25,3.45,3.7,11.3,,,,196.6
ASIANPAINT,2013-03,11.04,16.54,34.28,41.99,17.1,0.07,False,44.07,,False,-45.0,1.55,724.0,4.41,41.68,High Quality,Shareholder Returns,1160.0,35.25,3.45,3.7,11.3,,,,196.6
ASIANPAINT,2014-03,10.34,16.4,31.27,40.96,15.64,0.06,False,44.33,,False,-1175.0,1.51,816.0,4.8,40.72,High Quality,Shareholder Returns,1263.0,42.07,3.33,3.08,11.47,,,,218.31
ASIANPAINT,2014-03,10.34,16.4,31.27,40.96,15.64,0.06,False,44.33,,False,-1175.0,1.51,816.0,4.8,40.72,High Quality,Shareholder Returns,1263.0,42.07,3.33,3.08,11.47,,,,218.31
ASIANPAINT,2015-03,10.48,16.47,30.09,36.44,16.01,0.09,False,56.79,,False,-1170.0,1.53,723.0,3.42,32.23,High Quality,Shareholder Returns,1427.0,49.4,2.94,4.69,8.73,,,,194.9
ASIANPAINT,2015-03,10.48,16.47,30.09,36.44,16.01,0.09,False,56.79,,False,-1170.0,1.53,723.0,3.42,32.23,Moderate,Reinvestor,1427.0,49.4,2.94,4.69,8.73,,,,194.9
