file,raw_value,company_id
profitandloss.xlsx,TTM,UNITDSPR
profitandloss.xlsx,TTM,VBL
profitandloss.xlsx,TTM,VEDL
profitandloss.xlsx,TTM,WIPRO
profitandloss.xlsx,TTM,ZOMATO
profitandloss.xlsx,TTM,ZYDUSLIFE
profitandloss.xlsx,TTM,INDIGO
profitandloss.xlsx,TTM,ABB
profitandloss.xlsx,TTM,ADANIENSOL
profitandloss.xlsx,TTM,ADANIENT
profitandloss.xlsx,TTM,ADANIGREEN
profitandloss.xlsx,TTM,ADANIPORTS
profitandloss.xlsx,TTM,ADANIPORTS
profitandloss.xlsx,TTM,ADANIPOWER
profitandloss.xlsx,TTM,AMBUJACEM
profitandloss.xlsx,TTM,APOLLOHOSP
profitandloss.xlsx,TTM,ASIANPAINT
profitandloss.xlsx,TTM,ATGL
profitandloss.xlsx,TTM,BAJAJ-AUTO
profitandloss.xlsx,TTM,AXISBANK
profitandloss.xlsx,TTM,BAJAJFINSV
profitandloss.xlsx,TTM,BAJAJHLDNG
profitandloss.xlsx,TTM,BAJFINANCE
profitandloss.xlsx,TTM,BANKBARODA
profitandloss.xlsx,TTM,BHARTIARTL
profitandloss.xlsx,TTM,BEL
profitandloss.xlsx,TTM,BHEL
profitandloss.xlsx,TTM,BOSCHLTD
profitandloss.xlsx,TTM,BPCL
profitandloss.xlsx,TTM,BRITANNIA
profitandloss.xlsx,TTM,CANBK
profitandloss.xlsx,TTM,CHOLAFIN
profitandloss.xlsx,TTM,CIPLA
profitandloss.xlsx,TTM,COALINDIA
profitandloss.xlsx,TTM,DABUR
profitandloss.xlsx,TTM,DIVISLAB
profitandloss.xlsx,TTM,DLF
profitandloss.xlsx,TTM,DMART
profitandloss.xlsx,TTM,DRREDDY
profitandloss.xlsx,TTM,EICHERMOT
profitandloss.xlsx,TTM,GAIL
profitandloss.xlsx,TTM,GODREJCP
profitandloss.xlsx,TTM,GRASIM
profitandloss.xlsx,TTM,HAL
profitandloss.xlsx,TTM,HAVELLS
profitandloss.xlsx,TTM,HCLTECH
profitandloss.xlsx,TTM,HDFCBANK
profitandloss.xlsx,TTM,HDFCLIFE
profitandloss.xlsx,TTM,HEROMOTOCO
profitandloss.xlsx,TTM,HINDALCO
profitandloss.xlsx,TTM,HINDUNILVR
profitandloss.xlsx,TTM,ICICIBANK
profitandloss.xlsx,TTM,ICICIGI
profitandloss.xlsx,TTM,ICICIPRULI
profitandloss.xlsx,TTM,INDUSINDBK
profitandloss.xlsx,TTM,INFY
profitandloss.xlsx,TTM,IOC
profitandloss.xlsx,TTM,IRCTC
profitandloss.xlsx,TTM,IRFC
